Compound,m/z,z,p value,specificity,areas
Sel Score: 0.74 RTime: 1454.624,406.4824,2.0,0.06912930772376663,12ca5,"[7389872.880825053, 12205214.63582546, 15786310.351338072, 4258500.516330607, 1681823.9214735785, 6743604.136246576]"
Sel Score: 0.73 RTime: 1392.164,457.5039,2.0,0.02060620260513658,12ca5,"[7269441.652658291, 9405828.26025657, 5993514.213679869, 1827223.3347705198, 2344377.6605177824, 4026563.3271926013]"
Sel Score: 0.73 RTime: 1364.363,455.7565,4.0,0.03175229196230414,12ca5,"[12492932.672147635, 8265291.734285754, 8119768.686004088, 4942465.746891528, 3074380.5971058942, 2437086.4933308465]"
Sel Score: 0.73 RTime: 1449.238,440.2355,4.0,0.2310317874879884,Unclear,"[2532189.402709252, 14193121.716678219, 14201289.952851305, 4978237.002296371, 2920601.360835177, 3316433.9381100563]"
Sel Score: 0.73 RTime: 1300.936,463.5172,2.0,0.010477574921630988,12ca5,"[4813884.233320213, 5539551.994371455, 5422034.002112666, 1730579.4718631927, 2845898.4796822146, 1168121.4481765213]"
Sel Score: 0.73 RTime: 7756.844,539.843,2.0,0.5926295612168052,Unclear,"[26102559.344865307, 10227.0, 10209.0, 10230.0, 4639501.278145095, 4913546.830640473]"
Sel Score: 0.73 RTime: 2002.993,423.9857,4.0,0.1343202301118982,Unclear,"[3845519.206129602, 4315334.17586461, 4439155.817219858, 3686532.43225373, 917608.8964310396, 9988.0]"
Sel Score: 0.73 RTime: 1410.519,416.9865,2.0,0.0971887240673355,12ca5,"[11427022.415215958, 21135548.169251405, 10544435.019662326, 8798757.0912601, 2933239.644119998, 4055681.0584190316]"
Sel Score: 0.73 RTime: 1424.209,437.7561,4.0,0.021152763517795114,12ca5,"[10925651.657245021, 8119538.026799872, 7080549.739570997, 4898749.208327676, 2473534.82335459, 2203514.954297306]"
Sel Score: 0.73 RTime: 1614.211,431.9975,2.0,0.08657486929742861,12ca5,"[6258669.457490711, 11705440.823341437, 6943404.785974623, 3600520.491009121, 2426646.7880151104, 3114763.729161968]"
Sel Score: 0.73 RTime: 4920.678,472.2523,2.0,0.27182289020614936,Unclear,"[816625.8702786393, 4598743.116786906, 2360281.532463462, 791175.2351698183, 1468382.208854136, 603882.545317771]"
Sel Score: 0.73 RTime: 1427.69,449.0115,2.0,0.10638795750739805,12ca5,"[3915537.2391565, 6399012.8091780245, 2872051.316677312, 2203505.211228426, 984623.0802905124, 1709793.1500364398]"
Sel Score: 0.73 RTime: 1446.105,468.7625,2.0,0.3846051984932942,Unclear,"[7169172.279433222, 1765529.7026474879, 1154249.737958691, 1118274.3257029862, 1531313.235017349, 1108772.4751764666]"
Sel Score: 0.73 RTime: 1455.499,418.7363,4.0,0.13069296560136523,12ca5,"[12099361.646205971, 12658048.430580545, 4618691.215348951, 7041673.715699874, 1564013.156956947, 2405005.2564855977]"
Sel Score: 0.73 RTime: 1318.386,430.9977,4.0,0.002638089830419489,12ca5,"[15404514.795996191, 13308690.912459426, 14606353.01021552, 5061991.606893431, 7224984.342639861, 3959403.1062032497]"
Sel Score: 0.73 RTime: 7083.707,434.648,2.0,0.014894233465801338,12ca5,"[5874582.97677138, 6294511.7833572505, 8455091.701052265, 3431998.4074241356, 1426543.8757316407, 2880764.239918715]"
Sel Score: 0.73 RTime: 1304.769,442.2557,4.0,0.13415909965967987,Unclear,"[7071301.079921854, 11817394.570049303, 4610700.271416297, 1713398.917802025, 2609227.9859140706, 4500626.709323715]"
Sel Score: 0.73 RTime: 7227.767,649.0164,3.0,0.013196190468370507,12ca5,"[954382.467722059, 1092041.6372938652, 1316116.6421209082, 335655.9280276781, 664700.5155664346, 264591.5488356681]"
Sel Score: 0.73 RTime: 1363.58,440.5102,2.0,0.08416247127444251,12ca5,"[9378628.83381438, 7985219.8373481985, 4530093.926648365, 2733754.5932179415, 2374866.405173135, 3136958.109126833]"
Sel Score: 0.73 RTime: 1445.704,447.2393,2.0,0.20483382639029638,Unclear,"[6623780.271417718, 9801130.887591917, 20488896.374474403, 5736412.7546541495, 2592220.4968426893, 5638918.239597106]"
Sel Score: 0.73 RTime: 7534.954,575.0668,4.0,0.14149144312178896,Unclear,"[1187205.2744244968, 1794099.0639611455, 1840630.0795975798, 10210.0, 1483162.9626523051, 333388.8604879536]"
Sel Score: 0.72 RTime: 1412.486,430.9901,2.0,0.06766979355448587,12ca5,"[11915181.118490508, 15577217.800440926, 23122278.05206481, 7923032.212524788, 8138173.355742917, 3172934.8770145937]"
